id,display_name,name,product_line,product_id,hex,pattern,skeins,partial_skein,notes
Y115,P15 (Latte Macchiato),Latte Macchiato,Hobbii Friends Cotton 8/4 Print,15,,,0,no,
Y116,P16 (Shades of Gray),Shades of Gray,Hobbii Friends Cotton 8/4 Print,16,,,0,no,
Y117,P17 (Bonfire),Bonfire,Hobbii Friends Cotton 8/4 Print,17,,,0,no,
Y118,P18 (Spring Flowers),Spring Flowers,Hobbii Friends Cotton 8/4 Print,18,,,0,no,
Y119,P19 (Peach'n Plum),Peach'n Plum,Hobbii Friends Cotton 8/4 Print,19,,,0,no,
Y120,P21 (Northern Lights),Northern Lights,Hobbii Friends Cotton 8/4 Print,21,#0f1d68;#4b69a5;#469ba6;#c9ca56,print,2,yes,
Y121,P22 (Winter Sunset),Winter Sunset,Hobbii Friends Cotton 8/4 Print,22,,,0,no,
Y122,P23 (Burning Embers),Burning Embers,Hobbii Friends Cotton 8/4 Print,23,,,0,no,
Y123,P24 (Pastel Rainbow),Pastel Rainbow,Hobbii Friends Cotton 8/4 Print,24,,,0,no,
Y124,P25 (Bold Rainbow),Bold Rainbow,Hobbii Friends Cotton 8/4 Print,25,,,0,no,
Y125,P32 (Lemon Sorbet),Lemon Sorbet,Hobbii Friends Cotton 8/4 Print,32,,,0,no,
Y126,P33 (Young Love),Young Love,Hobbii Friends Cotton 8/4 Print,33,,,0,no,
Y127,P34 (Violets),Violets,Hobbii Friends Cotton 8/4 Print,34,,,0,no,
Y128,P35 (Teal),Teal,Hobbii Friends Cotton 8/4 Print,35,,print,1,yes,
Y129,P36 (Rain Clouds),Rain Clouds,Hobbii Friends Cotton 8/4 Print,36,,print,1,yes,
Y130,P37 (Camouflage),Camouflage,Hobbii Friends Cotton 8/4 Print,37,,,0,no,
Y131,,Waterfall,Hobbii Friends Cotton 8/4,129,#cbdae1,solid,2,yes,
Y132,GS016 (Light Grey Silver),Light Grey Silver,Rainbow 8/4 Glitter Silver,016,#c6c5c3,solid,2,no,
Y133,GS009 (Black Silver),Black Silver,Rainbow 8/4 Glitter Silver,009,#181514,solid,2,no,
Y134,GS001 (Optic White Silver),Optic White Silver,Rainbow 8/4 Glitter Silver,001,#f4f4f4,solid,16,no,
Y135,Q2033 (Wedgwood),Wedgwood,Queensland Coastal Cotton Fine,2033,#52738d,solid,1,yes,
Y136,Q2035 (Granny Smith),Granny Smith,Queensland Coastal Cotton Fine,2035,#7e9a59,solid,1,yes,
Y137,Q4027 (Malibu),Malibu,Queensland Coastal Cotton Fine Ocean Mist,4027,,speckled,1,no,100g skein
Y138,Q4012 (Coral Reef),Coral Reef,Queensland Coastal Cotton Fine Ocean Mist,4012,,speckled,1,no,100g skein
Y139,Q4011 (Playa Verde),Playa Verde,Queensland Coastal Cotton Fine Ocean Mist,4011,,speckled,1,no,100g skein
Y140,Q4025 (Pfeiffer Beach),Pfeiffer Beach,Queensland Coastal Cotton Fine Ocean Mist,4025,,speckled,1,no,100g skein
